date,attendence,time,weather
"Thursday, April 5, 2018","Attendance: 42,477","Day Game, on grass","Start Time Weather: 42° F, Wind 8mph from Left to Right, Cloudy, No Precipitation."
"Saturday, April 7, 2018","Attendance: 28,952","Day Game, on grass","Start Time Weather: 42° F, Wind 11mph in from Leftfield, Cloudy, No Precipitation."
"Sunday, April 8, 2018","Attendance: 21,579","Night Game, on grass","Start Time Weather: 47° F, Wind 11mph in from Leftfield, Night, No Precipitation."
"Monday, April 9, 2018","Attendance: 19,528","Night Game, on grass","Start Time Weather: 45° F, Wind 4mph out to Leftfield, Overcast, No Precipitation."
"Tuesday, April 10, 2018","Attendance: 19,357","Night Game, on grass","Start Time Weather: 52° F, Wind 9mph in from Centerfield, Night, No Precipitation."
"Wednesday, April 11, 2018","Attendance: 21,109","Day Game, on grass","Start Time Weather: 51° F, Wind 3mph out to Centerfield, Cloudy, No Precipitation."
"Thursday, April 12, 2018","Attendance: 24,213","Night Game, on grass","Start Time Weather: 74° F, Wind 18mph out to Centerfield, Cloudy, No Precipitation."
"Friday, April 13, 2018","Attendance: 32,702","Night Game, on grass","Start Time Weather: 81° F, Wind 9mph out to Leftfield, Night, No Precipitation."
"Saturday, April 14, 2018","Attendance: 31,700","Day Game, on grass","Start Time Weather: 77° F, Wind 15mph out to Centerfield, Sunny, No Precipitation."
"Sunday, April 15, 2018","Attendance: 25,462","Day Game, on grass","Start Time Weather: 52° F, Wind 12mph in from Rightfield, Overcast, Drizzle."
"Friday, April 27, 2018","Attendance: 26,517","Night Game, on grass","Start Time Weather: 62° F, Wind 3mph out to Rightfield, Cloudy, No Precipitation."
"Saturday, April 28, 2018","Attendance: 32,963","Day Game, on grass","Start Time Weather: 76° F, Wind 13mph out to Leftfield, Cloudy, No Precipitation."
"Sunday, April 29, 2018","Attendance: 30,285","Day Game, on grass","Start Time Weather: 54° F, Wind 18mph from Left to Right, Cloudy, No Precipitation."
"Monday, April 30, 2018","Attendance: 20,879","Night Game, on grass","Start Time Weather: 71° F, Wind 15mph out to Rightfield, Night, No Precipitation."
"Tuesday, May 1, 2018","Attendance: 23,534","Night Game, on grass","Start Time Weather: 83° F, Wind 7mph out to Centerfield, Night, No Precipitation."
"Wednesday, May 2, 2018","Attendance: 27,086","Night Game, on grass","Start Time Weather: 89° F, Wind 7mph out to Centerfield, Night, No Precipitation."
"Thursday, May 3, 2018","Attendance: 30,434","Day Game, on grass","Start Time Weather: 87° F, Wind 12mph out to Centerfield, Sunny, No Precipitation."
"Friday, May 4, 2018","Attendance: 35,497","Night Game, on grass","Start Time Weather: 86° F, Wind 10mph out to Leftfield, Cloudy, No Precipitation."
"Saturday, May 5, 2018","Attendance: 34,687","Day Game, on grass","Start Time Weather: 70° F, Wind 2mph out to Leftfield, Cloudy, No Precipitation."
"Sunday, May 6, 2018","Attendance: 30,611","Day Game, on grass","Start Time Weather: 68° F, Wind 0mph, Cloudy, No Precipitation."
"Tuesday, May 15, 2018","Attendance: 41,567","Night Game, on grass","Start Time Weather: 85° F, Wind 15mph out to Centerfield, Cloudy, No Precipitation."
"Sunday, May 20, 2018","Attendance: 40,201","Day Game, on grass","Start Time Weather: 86° F, Wind 10mph out to Rightfield, Cloudy, No Precipitation."
"Monday, May 21, 2018","Attendance: 27,890","Night Game, on grass","Start Time Weather: 78° F, Wind 8mph out to Leftfield, Cloudy, No Precipitation."
"Tuesday, May 22, 2018","Attendance: 25,700","Night Game, on grass","Start Time Weather: 72° F, Wind 7mph out to Centerfield, Cloudy, No Precipitation."
"Wednesday, May 23, 2018","Attendance: 31,076","Day Game, on grass","Start Time Weather: 81° F, Wind 10mph in from Leftfield, Cloudy, No Precipitation."
"Tuesday, June 5, 2018","Attendance: 32,165","Night Game, on grass","Start Time Weather: 77° F, Wind 13mph from Left to Right, Cloudy, No Precipitation."
"Wednesday, June 6, 2018","Attendance: 33,106","Day Game, on grass","Start Time Weather: 74° F, Wind 6mph from Left to Right, Cloudy, No Precipitation."
"Friday, June 8, 2018","Attendance: 41,591","Night Game, on grass","Start Time Weather: 84° F, Wind 2mph out to Leftfield, Cloudy, No Precipitation."
"Saturday, June 9, 2018","Attendance: 37,701","Day Game, on grass","Start Time Weather: 84° F, Wind 4mph in from Rightfield, Cloudy, No Precipitation."
"Sunday, June 10, 2018","Attendance: 35,705","Day Game, on grass","Start Time Weather: 81° F, Wind 0mph, Cloudy, No Precipitation."
"Monday, June 18, 2018","Attendance: 42,723","Night Game, on grass","Start Time Weather: 88° F, Wind 10mph out to Centerfield, Cloudy, No Precipitation."
"Tuesday, June 19, 2018","Attendance: 33,391","Night Game, on grass","Start Time Weather: 83° F, Wind 7mph in from Leftfield, Cloudy, No Precipitation."
"Wednesday, June 20, 2018","Attendance: 32,153","Night Game, on grass","Start Time Weather: 82° F, Wind 3mph , Cloudy, No Precipitation."
"Thursday, June 21, 2018","Attendance: 36,868","Night Game, on grass","Start Time Weather: 81° F, Wind 7mph in from Centerfield, Cloudy, No Precipitation."
"Friday, June 22, 2018","Attendance: 35,630","Night Game, on grass","Start Time Weather: 68° F, Wind 10mph in from Rightfield, Overcast, Drizzle."
"Saturday, June 23, 2018","Attendance: 40,341","Day Game, on grass","Start Time Weather: 81° F, Wind 7mph out to Centerfield, Cloudy, No Precipitation."
"Sunday, June 24, 2018","Attendance: 29,314","Night Game, on grass","Start Time Weather: 83° F, Wind 4mph in from Leftfield, Cloudy, No Precipitation."
"Monday, July 2, 2018","Attendance: 39,002","Night Game, on grass","Start Time Weather: 95° F, Wind 10mph out to Centerfield, Night, No Precipitation."
"Tuesday, July 3, 2018","Attendance: 42,531","Night Game, on grass","Start Time Weather: 94° F, Wind 5mph from Right to Left, Cloudy, No Precipitation."
"Wednesday, July 4, 2018","Attendance: 42,528","Day Game, on grass","Start Time Weather: 89° F, Wind 3mph from Right to Left, Cloudy, No Precipitation."
"Thursday, July 5, 2018","Attendance: 24,314","Night Game, on grass","Start Time Weather: 89° F, Wind 2mph from Right to Left, Cloudy, No Precipitation."
"Friday, July 6, 2018","Attendance: 32,652","Night Game, on grass","Start Time Weather: 85° F, Wind 2mph from Left to Right, Cloudy, No Precipitation."
"Saturday, July 7, 2018","Attendance: 34,364","Night Game, on grass","Start Time Weather: 79° F, Wind 8mph in from Rightfield, Night, No Precipitation."
"Sunday, July 8, 2018","Attendance: 30,464","Day Game, on grass","Start Time Weather: 77° F, Wind 9mph in from Rightfield, Sunny, No Precipitation."
"Friday, July 20, 2018","Attendance: 41,008","Night Game, on grass","Start Time Weather: 82° F, Wind 13mph out to Leftfield, Cloudy, No Precipitation."
"Sunday, July 22, 2018","Attendance: 39,063","Day Game, on grass","Start Time Weather: 75° F, Wind 4mph , Cloudy, No Precipitation."
"Tuesday, July 31, 2018","Attendance: 35,029","Night Game, on grass","Start Time Weather: 82° F, Wind 6mph out to Leftfield, Cloudy, No Precipitation."
"Wednesday, August 1, 2018","Attendance: 34,319","Day Game, on grass","Start Time Weather: 83° F, Wind 11mph out to Centerfield, Cloudy, No Precipitation."
"Thursday, August 2, 2018","Attendance: 28,845","Night Game, on grass","Start Time Weather: 78° F, Wind 3mph from Right to Left, Cloudy, No Precipitation."
"Sunday, August 5, 2018","Attendance: 33,486","Day Game, on grass","Start Time Weather: 90° F, Wind 5mph from Left to Right, Cloudy, No Precipitation."
"Wednesday, August 8, 2018","Attendance: 30,203","Night Game, on grass","Start Time Weather: 88° F, Wind 8mph out to Rightfield, Night, No Precipitation."
"Thursday, August 9, 2018","Attendance: 28,347","Day Game, on grass","Start Time Weather: 84° F, Wind 6mph in from Leftfield, Cloudy, No Precipitation."
"Friday, August 17, 2018","Attendance: 37,106","Night Game, on grass","Start Time Weather: 87° F, Wind 10mph out to Centerfield, Cloudy, No Precipitation."
"Saturday, August 18, 2018","Attendance: 30,900","Night Game, on grass","Start Time Weather: 85° F, Wind 8mph out to Rightfield, Cloudy, No Precipitation."
"Sunday, August 19, 2018","Attendance: 31,435","Day Game, on grass","Start Time Weather: 82° F, Wind 2mph , Cloudy, No Precipitation."
"Tuesday, August 21, 2018","Attendance: 24,080","Night Game, on grass","Start Time Weather: 81° F, Wind 4mph out to Leftfield, Cloudy, No Precipitation."
"Wednesday, August 22, 2018","Attendance: 31,855","Night Game, on grass","Start Time Weather: 82° F, Wind 9mph in from Leftfield, Cloudy, No Precipitation."
"Thursday, August 23, 2018","Attendance: 29,475","Day Game, on grass","Start Time Weather: 76° F, Wind 7mph in from Rightfield, Sunny, No Precipitation."
"Friday, August 31, 2018","Attendance: 30,676","Night Game, on grass","Start Time Weather: 88° F, Wind 4mph from Right to Left, Cloudy, No Precipitation."
"Saturday, September 1, 2018","Attendance: 30,875","Night Game, on grass","Start Time Weather: 81° F, Wind 8mph from Right to Left, Cloudy, No Precipitation."
"Sunday, September 2, 2018","Attendance: 33,032","Day Game, on grass","Start Time Weather: 86° F, Wind 2mph from Right to Left, Cloudy, No Precipitation."
"Monday, September 3, 2018","Attendance: 28,648","Day Game, on grass","Start Time Weather: 90° F, Wind 5mph out to Leftfield, Cloudy, No Precipitation."
"Tuesday, September 4, 2018","Attendance: 21,637","Night Game, on grass","Start Time Weather: 84° F, Wind 4mph out to Leftfield, Cloudy, No Precipitation."
"Wednesday, September 5, 2018","Attendance: 22,124","Night Game, on grass","Start Time Weather: 87° F, Wind 7mph out to Leftfield, Night, No Precipitation."
"Thursday, September 6, 2018","Attendance: 32,070","Night Game, on grass","Start Time Weather: 91° F, Wind 3mph out to Leftfield, Cloudy, No Precipitation."
"Thursday, September 13, 2018","Attendance: 30,173","Day Game, on grass","Start Time Weather: 78° F, Wind 11mph in from Rightfield, Cloudy, No Precipitation."
"Thursday, September 20, 2018","Attendance: 28,358","Night Game, on grass","Start Time Weather: 79° F, Wind 9mph out to Leftfield, Cloudy, No Precipitation."
"Friday, September 21, 2018","Attendance: 37,895","Night Game, on grass","Start Time Weather: 75° F, Wind 4mph from Right to Left, Cloudy, No Precipitation."
"Saturday, September 22, 2018","Attendance: 39,372","Day Game, on grass","Start Time Weather: 76° F, Wind 13mph in from Centerfield, Cloudy, No Precipitation."
"Sunday, September 23, 2018","Attendance: 34,218","Day Game, on grass","Start Time Weather: 64° F, Wind 7mph in from Centerfield, Overcast, Rain."
"Monday, September 24, 2018","Attendance: 22,428","Night Game, on grass","Start Time Weather: 63° F, Wind 10mph in from Rightfield, Overcast, Rain."
"Tuesday, September 25, 2018","Attendance: 26,483","Night Game, on grass","Start Time Weather: 78° F, Wind 4mph out to Leftfield, Cloudy, No Precipitation."
"Wednesday, September 26, 2018","Attendance: 28,680","Day Game, on grass","Start Time Weather: 88° F, Wind 6mph from Right to Left, Cloudy, No Precipitation."
"Monday, April 3, 2017","Attendance: 42,744","Day Game, on grass","Start Time Weather: 66° F, Wind 5mph out to Rightfield."
"Wednesday, April 5, 2017","Attendance: 22,715","Night Game, on grass","Start Time Weather: 69° F, Wind 12mph out to Leftfield."
"Thursday, April 6, 2017","Attendance: 19,418","Night Game, on grass","Start Time Weather: 56° F, Wind 9mph from Left to Right."
"Monday, April 10, 2017","Attendance: 27,413","Night Game, on grass","Start Time Weather: 79° F, Wind 6mph out to Leftfield."
"Tuesday, April 11, 2017","Attendance: 30,663","Night Game, on grass","Start Time Weather: 81° F, Wind 10mph out to Leftfield, Cloudy."
"Wednesday, April 12, 2017","Attendance: 31,647","Day Game, on grass","Start Time Weather: 77° F, Wind 13mph from Left to Right, Cloudy."
"Friday, April 14, 2017","Attendance: 38,664","Day Game, on grass","Start Time Weather: 70° F, Wind 6mph from Right to Left, Sunny."
"Saturday, April 15, 2017","Attendance: 35,626","Day Game, on grass","Start Time Weather: 65° F, Wind 6mph from Left to Right, Cloudy."
"Sunday, April 16, 2017","Attendance: 29,774","Day Game, on grass","Start Time Weather: 84° F, Wind 15mph from Left to Right, Cloudy."
"Friday, April 28, 2017","Attendance: 34,562","Night Game, on grass","Start Time Weather: 83° F, Wind 10mph out to Centerfield, Cloudy."
"Saturday, April 29, 2017","Attendance: 36,501","Day Game, on grass","Start Time Weather: 84° F, Wind 11mph out to Rightfield, Cloudy."
"Sunday, April 30, 2017","Attendance: 36,806","Day Game, on grass","Start Time Weather: 84° F, Wind 7mph in from Rightfield, Overcast."
"Tuesday, May 2, 2017","Attendance: 22,826","Night Game, on grass","Start Time Weather: 75° F, Wind 11mph in from Centerfield, Cloudy."
"Wednesday, May 3, 2017","Attendance: 23,816","Night Game, on grass","Start Time Weather: 64° F, Wind 9mph in from Leftfield, Sunny."
"Thursday, May 4, 2017","Attendance: 29,496","Day Game, on grass","Start Time Weather: 66° F, Wind 15mph from Right to Left."
"Wednesday, May 10, 2017","Attendance: 32,984","Night Game, on grass","Start Time Weather: 74° F, Wind 7mph in from Rightfield, Cloudy."
"Saturday, May 13, 2017","Attendance: 31,473","Night Game, on grass","Start Time Weather: 58° F, Wind 12mph in from Leftfield."
"Tuesday, May 23, 2017","Attendance: 29,650","Night Game, on grass","Start Time Weather: 66° F, Wind 4mph in from Rightfield, Drizzle."
"Wednesday, May 24, 2017","Attendance: 29,223","Night Game, on grass","Start Time Weather: 64° F, Wind 3mph from Right to Left, Overcast."
"Thursday, May 25, 2017","Attendance: 18,881","Day Game, on grass","Start Time Weather: 67° F, Wind 8mph out to Rightfield, Cloudy."
"Friday, May 26, 2017","Attendance: 28,606","Night Game, on grass","Start Time Weather: 74° F, Wind 13mph from Left to Right, Cloudy."
"Saturday, May 27, 2017","Attendance: 37,357","Day Game, on grass","Start Time Weather: 72° F, Wind 6mph in from Rightfield, Overcast."
"Sunday, May 28, 2017","Attendance: 30,243","Day Game, on grass","Start Time Weather: 65° F, Wind 7mph out to Leftfield."
"Thursday, June 8, 2017","Attendance: 37,833","Night Game, on grass","Start Time Weather: 73° F, Wind 7mph in from Rightfield, Sunny."
"Friday, June 9, 2017","Attendance: 38,332","Night Game, on grass","Start Time Weather: 81° F, Wind 4mph from Left to Right, Cloudy."
"Saturday, June 10, 2017","Attendance: 32,157","Day Game, on grass","Start Time Weather: 79° F, Wind 2mph out to Leftfield, Sunny."
"Sunday, June 11, 2017","Attendance: 32,027","Day Game, on grass","Start Time Weather: 92° F, Wind 13mph from Right to Left, Cloudy."
"Monday, June 12, 2017","Attendance: 28,909","Night Game, on grass","Start Time Weather: 91° F, Wind 5mph out to Rightfield, Cloudy."
"Tuesday, June 13, 2017","Attendance: 31,762","Night Game, on grass","Start Time Weather: 91° F, Wind 7mph in from Rightfield, Cloudy."
"Wednesday, June 14, 2017","Attendance: 36,227","Day Game, on grass","Start Time Weather: 86° F, Wind 4mph in from Rightfield, Overcast."
"Friday, June 23, 2017","Attendance: 36,347","Night Game, on grass","Start Time Weather: 87° F, Wind 14mph out to Rightfield, Cloudy."
"Saturday, June 24, 2017","Attendance: 40,139","Day Game, on grass","Start Time Weather: 86° F, Wind 9mph from Left to Right, Cloudy."
"Sunday, June 25, 2017","Attendance: 35,387","Day Game, on grass","Start Time Weather: 84° F, Wind 13mph in from Leftfield, Cloudy."
"Monday, June 26, 2017","Attendance: 29,651","Night Game, on grass","Start Time Weather: 80° F, Wind 4mph out to Centerfield, Cloudy."
"Tuesday, June 27, 2017","Attendance: 31,202","Night Game, on grass","Start Time Weather: 79° F, Wind 3mph from Left to Right, Cloudy."
"Wednesday, June 28, 2017","Attendance: 31,072","Night Game, on grass","Start Time Weather: 80° F, Wind 8mph out to Centerfield, Cloudy."
"Thursday, June 29, 2017","Attendance: 37,097","Day Game, on grass","Start Time Weather: 89° F, Wind 4mph out to Leftfield."
"Monday, July 3, 2017","Attendance: 41,681","Night Game, on grass","Start Time Weather: 90° F, Wind 6mph out to Rightfield, Cloudy."
"Tuesday, July 4, 2017","Attendance: 37,120","Day Game, on grass","Start Time Weather: 84° F, Wind 3mph in from Centerfield."
"Thursday, July 6, 2017","Attendance: 22,724","Night Game, on grass","Start Time Weather: 75° F, Wind 8mph in from Rightfield, Cloudy."
"Friday, July 7, 2017","Attendance: 32,664","Night Game, on grass","Start Time Weather: 87° F, Wind 8mph from Left to Right, Cloudy."
"Saturday, July 8, 2017","Attendance: 38,439","Day Game, on grass","Start Time Weather: 88° F, Wind 9mph from Left to Right, Cloudy."
"Sunday, July 9, 2017","Attendance: 35,030","Day Game, on grass","Start Time Weather: 80° F, Wind 9mph from Left to Right, Sunny."
"Tuesday, July 25, 2017","Attendance: 28,428","Night Game, on grass","Start Time Weather: 79° F, Wind 10mph in from Leftfield, Cloudy."
"Wednesday, July 26, 2017","Attendance: 35,296","Night Game, on grass","Start Time Weather: 84° F, Wind 8mph out to Rightfield, Cloudy."
"Thursday, July 27, 2017","Attendance: 32,118","Day Game, on grass","Start Time Weather: 82° F, Wind 4mph out to Leftfield, Cloudy."
"Saturday, July 29, 2017","Attendance: 33,989","Night Game, on grass","Start Time Weather: 74° F, Wind 3mph from Left to Right, Overcast."
"Monday, August 7, 2017","Attendance: 21,799","Night Game, on grass","Start Time Weather: 71° F, Wind 9mph in from Rightfield."
"Tuesday, August 8, 2017","Attendance: 25,406","Night Game, on grass","Start Time Weather: 80° F, Wind 4mph in from Leftfield, Sunny."
"Wednesday, August 9, 2017","Attendance: 25,951","Night Game, on grass","Start Time Weather: 82° F, Wind 7mph from Right to Left, Cloudy."
"Thursday, August 10, 2017","Attendance: 23,904","Night Game, on grass","Start Time Weather: 81° F, Wind 3mph out to Centerfield."
"Saturday, August 12, 2017","Attendance: 32,344","Night Game, on grass","Start Time Weather: 73° F, Wind 4mph out to Rightfield, Drizzle."
"Tuesday, August 15, 2017","Attendance: 32,355","Night Game, on grass","Start Time Weather: 81° F, Wind 7mph in from Rightfield."
"Wednesday, August 16, 2017","Attendance: 30,307","Day Game, on grass","Start Time Weather: 87° F, Wind 5mph in from Leftfield, Cloudy."
"Friday, August 25, 2017","Attendance: 34,036","Night Game, on grass","Start Time Weather: 79° F, Wind 2mph from Left to Right, Cloudy."
"Saturday, August 26, 2017","Attendance: 36,761","Day Game, on grass","Start Time Weather: 77° F, Wind 4mph from Right to Left, Cloudy."
"Monday, August 28, 2017","Attendance: 20,838","Night Game, on grass","Start Time Weather: 72° F, Wind 12mph in from Rightfield."
"Tuesday, August 29, 2017","Attendance: 25,924","Night Game, on grass","Start Time Weather: 66° F, Wind 14mph in from Centerfield, Rain."
"Wednesday, August 30, 2017","Attendance: 25,019","Day Game, on grass","Start Time Weather: 78° F, Wind 3mph out to Rightfield, Cloudy."
"Thursday, September 7, 2017","Attendance: 26,267","Night Game, on grass","Start Time Weather: 70° F, Wind 9mph out to Rightfield, Sunny."
"Friday, September 8, 2017","Attendance: 29,837","Night Game, on grass","Start Time Weather: 74° F, Wind 5mph in from Leftfield, Cloudy."
"Saturday, September 9, 2017","Attendance: 35,694","Night Game, on grass","Start Time Weather: 69° F, Wind 6mph in from Leftfield, Sunny."
"Sunday, September 10, 2017","Attendance: 32,627","Day Game, on grass","Start Time Weather: 69° F, Wind 5mph in from Centerfield, Cloudy."
"Tuesday, September 12, 2017","Attendance: 22,769","Night Game, on grass","Start Time Weather: 75° F, Wind 2mph from Right to Left, Cloudy."
"Wednesday, September 13, 2017","Attendance: 24,850","Night Game, on grass","Start Time Weather: 80° F, Wind 4mph out to Leftfield, Cloudy."
"Thursday, September 14, 2017","Attendance: 25,192","Night Game, on grass","Start Time Weather: 76° F, Wind 2mph out to Rightfield."
"Friday, September 15, 2017","Attendance: 37,508","Night Game, on grass","Start Time Weather: 80° F, Wind 6mph out to Leftfield."
"Saturday, September 16, 2017","Attendance: 39,387","Day Game, on grass","Start Time Weather: 82° F, Wind 2mph from Right to Left, Cloudy."
